City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Padang,ID,-0.95,100.35,79.93,78,100,5.93,overcast clouds
311,Qaqortoq,GL,60.72,-46.03,26.6,79,100,10.29,light snow
312,Nhulunbuy,AU,-12.23,136.77,91.4,52,40,11.41,scattered clouds
313,Huilong,CN,31.81,121.66,68.0,40,0,14.97,clear sky
314,Lata,PT,40.16,-8.33,62.01,87,94,1.99,light rain
315,Tautira,PF,-17.73,-149.15,80.6,74,75,4.7,broken clouds
316,Yarkovo,RU,57.4,67.08,35.98,97,100,4.14,overcast clouds
317,Murdochville,CA,48.96,-65.5,32.0,95,0,5.82,clear sky
318,Talnakh,RU,69.49,88.4,19.4,85,75,20.13,light snow
319,Corinto,GR,37.94,22.96,60.8,55,75,9.17,broken clouds
320,Nishihara,JP,26.18,127.76,80.6,88,90,9.17,mist
321,Marsabit,KE,2.33,37.99,65.35,92,81,15.03,light rain
322,Nyrob,RU,60.73,56.72,30.51,98,99,8.52,overcast clouds
323,Sioux Lookout,CA,50.1,-91.92,32.0,94,90,5.82,mist
324,Cabra,ES,37.47,-4.44,53.6,93,0,4.7,clear sky
325,Celestun,MX,20.87,-90.4,78.42,84,38,10.31,scattered clouds
326,Conceicao Da Barra,BR,-18.59,-39.73,73.76,94,5,4.0,clear sky
327,Izumo,JP,35.37,132.77,64.4,48,40,16.11,scattered clouds
328,Uglegorsk,RU,49.08,142.03,35.92,76,99,12.24,overcast clouds
329,Tatvan,TR,38.51,42.28,32.0,74,0,4.7,clear sky
330,Kulhudhuffushi,MV,6.62,73.07,84.06,75,73,14.81,light rain
331,Fortuna Foothills,US,32.66,-114.41,59.0,47,1,11.41,clear sky
332,Pachino,IT,36.72,15.09,55.0,93,23,4.7,few clouds
333,Abu Zabad,SD,12.35,29.25,68.31,30,43,11.5,scattered clouds
334,Saint-Augustin,CA,51.23,-58.65,30.69,89,91,14.63,overcast clouds
335,Lowicz,PL,52.11,19.95,44.01,99,0,7.81,clear sky
336,Saint George,US,37.1,-113.58,45.0,81,90,4.7,overcast clouds
337,Clifton,US,40.86,-74.16,64.99,71,1,3.62,clear sky
338,Cam Ranh,VN,11.92,109.16,87.8,62,40,19.46,scattered clouds
339,Kiunga,PG,-6.12,141.29,92.43,48,96,3.33,overcast clouds
340,Paciran,ID,-6.88,112.38,88.09,58,30,3.47,scattered clouds
341,Kasulu,TZ,-4.58,30.1,69.8,94,40,5.82,thunderstorm
342,Glencoe,ZA,-28.18,30.15,66.97,49,0,2.35,clear sky
343,College,US,64.86,-147.8,21.99,85,90,3.51,overcast clouds
344,Manokwari,ID,-0.87,134.08,83.97,74,99,14.05,light rain
345,Hot Springs,US,34.5,-93.06,64.4,88,20,4.7,few clouds
346,Deputatskiy,RU,69.3,139.9,-5.17,92,100,3.8,overcast clouds
347,Bubaque,GW,11.28,-15.83,84.25,79,0,9.82,clear sky
348,San Patricio,US,28.02,-97.52,72.0,94,20,9.17,few clouds
349,Halifax,CA,44.65,-63.57,48.0,75,79,3.36,broken clouds
350,Airai,TL,-8.93,125.41,82.27,37,73,6.76,broken clouds
351,Charlottesville,US,38.03,-78.48,53.6,71,1,1.39,clear sky
352,Lithakia,GR,37.72,20.83,46.4,81,0,4.7,clear sky
353,Tuapse,RU,44.11,39.07,50.77,75,16,8.93,few clouds
354,Yeppoon,AU,-23.13,150.73,78.8,50,40,12.75,scattered clouds
355,Le Port,RE,-20.94,55.29,80.6,51,0,17.22,clear sky
356,Gemena,CD,3.25,19.77,68.97,96,75,0.31,broken clouds
357,Khandbari,NP,27.37,87.2,73.85,39,0,2.8,clear sky
358,Ocampo,MX,21.65,-101.5,50.77,48,50,3.83,scattered clouds
359,Nouadhibou,MR,20.93,-17.03,69.8,77,96,13.87,overcast clouds
360,Pandan,PH,14.05,124.17,84.87,70,100,7.02,overcast clouds
361,Gimli,CA,50.63,-96.99,37.4,92,100,10.29,overcast clouds
362,Surt,LY,31.21,16.59,68.43,72,58,17.81,moderate rain
363,Challans,FR,46.84,-1.87,57.99,100,75,3.36,broken clouds
364,Drumheller,CA,51.46,-112.71,21.2,85,100,18.34,light snow
365,Toyooka,JP,35.53,134.83,62.6,59,40,8.05,scattered clouds
366,Maneadero,MX,31.72,-116.57,55.99,49,53,5.01,light rain
367,Samfya,ZM,-11.36,29.56,69.66,40,0,5.73,clear sky
368,Davidson,US,36.15,-86.78,66.2,68,1,4.7,clear sky
369,Kudahuvadhoo,MV,2.67,72.89,84.24,68,71,5.55,broken clouds
370,Chifeng,CN,42.27,118.96,39.94,46,0,15.17,clear sky
371,Brae,GB,60.4,-1.35,41.0,100,19,5.82,few clouds
372,Olonets,RU,60.98,32.97,37.9,77,73,8.75,broken clouds
373,Bonnyville,CA,54.27,-110.73,21.2,92,90,14.99,overcast clouds
374,Codrington,AU,-38.27,141.97,62.8,70,0,11.54,clear sky
375,Bandar-E Lengeh,IR,26.56,54.88,78.8,83,0,6.93,mist
376,Mayumba,GA,-3.43,10.66,77.18,88,97,7.72,light rain
377,Coquimbo,CL,-29.95,-71.34,55.4,87,88,3.36,overcast clouds
378,Strzelce Krajenskie,PL,52.88,15.53,44.01,92,0,3.58,clear sky
379,Weihai,CN,37.5,122.11,48.76,51,0,18.3,clear sky
380,Bavleny,RU,56.4,39.56,43.93,87,86,13.13,overcast clouds
381,Nova Olimpia,BR,-14.8,-57.29,78.3,61,96,3.15,overcast clouds
382,Balakhta,RU,55.38,91.6,35.96,94,69,4.54,broken clouds
383,Ostrovnoy,RU,68.05,39.51,36.75,87,95,25.86,light rain
384,Alofi,NU,-19.06,-169.92,80.6,69,3,14.99,light rain
385,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,37.4,47,4,8.95,clear sky
386,Grindavik,IS,63.84,-22.43,39.2,80,75,9.17,broken clouds
387,Dormidontovka,RU,47.77,134.91,33.66,85,98,4.88,overcast clouds
388,San Policarpo,PH,12.18,125.51,83.75,74,96,7.4,overcast clouds
389,Broome,US,42.25,-75.83,55.4,58,1,6.93,clear sky
390,Chicama,PE,-7.84,-79.15,61.61,83,56,4.52,broken clouds
391,Kastamonu,TR,41.5,33.67,36.57,90,0,1.25,clear sky
392,Atar,MR,20.52,-13.05,81.07,21,17,9.6,few clouds
393,Mahebourg,MU,-20.41,57.7,77.0,78,75,17.22,shower rain
394,Paraiso,CR,9.84,-83.87,66.2,100,75,2.24,mist
395,Laguna,US,38.42,-121.42,53.6,58,1,4.7,clear sky
396,Helong,CN,42.54,129.0,33.15,69,0,20.92,clear sky
397,Sangar,RU,63.92,127.47,-9.49,89,81,5.66,broken clouds
398,Chivay,PE,-15.64,-71.6,52.34,44,100,1.21,overcast clouds
399,Ewa Beach,US,21.32,-158.01,82.0,65,1,4.7,clear sky
400,Evensk,RU,61.95,159.23,13.24,89,82,10.65,broken clouds
401,Rio Gallegos,AR,-51.62,-69.22,57.2,54,0,14.99,clear sky
402,San Antonio,US,29.42,-98.49,69.8,77,1,4.7,clear sky
403,Puerto Del Rosario,ES,28.5,-13.86,62.6,88,0,6.93,clear sky
404,Isugod,PH,9.34,118.12,83.46,73,100,5.08,heavy intensity rain
405,Namibe,AO,-15.2,12.15,68.45,71,100,5.06,overcast clouds
406,Arawa,PG,-6.21,155.54,82.9,74,95,1.48,light rain
407,Myaundzha,RU,63.05,147.19,-4.85,84,94,2.64,overcast clouds
408,Dingle,PH,11.0,122.67,83.84,71,27,4.43,scattered clouds
409,Miri,MY,4.41,114.01,86.0,74,40,6.93,scattered clouds
410,Inuvik,CA,68.35,-133.72,28.4,79,28,2.24,scattered clouds
411,Sayyan,YE,15.17,44.32,55.49,39,66,2.68,broken clouds
412,Kysyl-Syr,RU,63.9,122.76,-5.44,88,82,5.35,broken clouds
413,Lumberton,US,34.62,-79.01,62.6,93,1,3.36,clear sky
414,Luziania,BR,-16.25,-47.95,73.4,78,75,4.7,moderate rain
415,Mapiri,BO,-15.25,-68.17,72.01,44,68,1.12,broken clouds
416,San Vicente,AR,-26.62,-54.13,65.66,48,0,1.77,clear sky
417,Klamath Falls,US,42.22,-121.78,32.0,97,90,9.17,mist
418,Half Moon Bay,US,37.46,-122.43,53.6,71,90,18.34,haze
419,Farafangana,MG,-22.82,47.83,75.31,79,7,7.9,clear sky
420,Camacha,PT,33.08,-16.33,66.2,72,20,10.29,few clouds
421,Llangefni,GB,53.26,-4.31,57.2,76,96,9.17,light rain
422,Sitka,US,57.05,-135.33,33.8,80,1,4.7,clear sky
423,Moju,BR,-1.88,-48.77,78.8,88,0,8.05,clear sky
424,Abalak,RU,58.13,68.59,35.37,99,100,2.77,light rain
425,Ahipara,NZ,-35.17,173.17,61.61,74,62,12.82,broken clouds
426,Kathu,TH,7.92,98.33,87.01,79,40,11.41,scattered clouds
427,Pyay,MM,18.82,95.22,82.53,74,0,10.51,clear sky
428,Ola,RU,59.58,151.28,13.87,88,100,17.52,overcast clouds
429,Mareeba,AU,-17.0,145.43,90.0,46,40,14.99,scattered clouds
430,Sitrah,BH,26.15,50.62,82.4,69,0,5.82,clear sky
431,Otsuchi,JP,39.37,141.9,55.4,71,75,4.7,broken clouds
432,Lavrentiya,RU,65.58,-171.0,27.55,95,11,5.3,few clouds
433,Rognan,NO,67.1,15.39,39.99,91,96,6.44,overcast clouds
